Giocatore,Ruolo,Squadra,Tier Gol/90,Tier Assist/90,Tier Gol+Assist/90,Tier xG/90,Tier xA/90,Tier xG+xA/90,Tier Occasioni create,Tier Passaggi chiave,Tier Pressioni,Tier Progressioni palla (Carry/90),Tier Progressioni palla (Pass/90),Tier Progressioni palla (Ricezione/90),Tier xG senza rigori,Tier Gol senza rigori/90,Tier Differenza Gol-xG,Tier Differenza Assist-xA,Tier Cartellini/90,Tier Espulsioni/90,Tier Ammonizioni/90
Loftus-Cheek,C,Milan,A,A,A,B,C,C,B,B,C,C,C,C,A,A,A,S,B,C,B
Berisha,C,Lecce,A,C,B,C,B,B,B,B,B,C,C,B,A,A,A,C,S,C,S
Gilmour,C,Napoli,A,C,B,A,C,B,B,C,B,A,C,A,A,A,A,A,C,C,C
Rafia,C,Lecce,A,A,A,B,C,B,C,C,C,B,C,C,A,A,A,S,B,C,A
Sulemana,C,Atalanta,C,A,C,C,S,C,B,A,A,A,B,S,C,C,C,C,B,C,B
Suslov,C,Verona,A,B,B,B,C,B,C,C,C,C,B,C,A,A,S,A,A,S,B
Maleh,C,Lecce,A,B,B,B,B,B,C,C,C,A,C,B,A,A,A,C,A,S,B
Aebischer,C,Pisa,A,A,A,B,B,B,C,B,B,B,C,B,A,A,B,B,B,C,B
Karlström,C,,A,C,B,A,A,A,C,C,C,A,B,A,A,A,A,C,B,C,B
Martins,C,,A,C,C,S,C,C,A,A,A,C,A,C,,A,C,C,S,C,S
Melegoni,C,,A,C,C,S,C,C,B,A,A,S,S,B,,A,C,C,C,C,C
Le Fée,C,,A,A,A,B,A,A,C,B,C,C,C,A,A,A,B,B,B,C,B
Amrabat,C,,A,A,A,S,B,A,C,A,C,B,C,S,,A,C,B,C,C,C
Solbakken,C,,A,A,A,C,B,B,B,B,B,C,A,C,A,A,A,B,B,C,B
Belahyane,C,Lazio,A,C,B,A,B,A,C,C,C,B,B,S,A,A,B,C,A,S,B
Bohinen,C,,A,A,A,B,B,B,B,A,C,C,A,A,A,A,B,B,C,C,C
Makoumbou,C,,A,C,B,A,A,A,C,C,C,S,B,S,A,A,B,C,C,S,C
Pierret,C,Lecce,A,A,A,A,A,S,C,C,C,A,C,S,A,A,B,B,C,C,C
Tameze,C,Torino,A,A,A,B,C,B,B,B,A,C,B,C,A,A,B,A,A,C,A
Bennacer,C,,A,A,A,A,A,A,C,B,B,C,C,C,A,A,B,B,S,C,S
Billing,C,,C,A,C,C,B,C,A,A,A,S,S,C,B,C,A,B,A,C,A
Ndour,C,Fiorentina,A,A,A,A,S,S,B,B,B,C,B,C,A,A,B,C,B,C,B
Doumbia,C,,A,A,A,C,A,B,B,B,B,B,S,C,A,A,S,B,C,C,C
Luiz,C,,A,A,A,C,C,C,A,A,A,C,C,B,A,A,A,A,B,C,A
Akpa-Akpro,C,,A,A,A,A,A,A,C,C,C,C,S,B,A,A,B,B,A,C,A
Keita,C,Parma,A,C,B,A,B,A,C,C,C,A,A,S,A,A,B,C,A,S,B
Prati,C,Cagliari,A,A,A,A,C,B,C,B,B,S,B,A,A,A,B,A,C,C,C
Pessina,C,,A,A,A,A,A,S,C,B,C,B,A,B,A,A,B,B,B,C,B
Tidiane Niasse,C,,A,A,A,B,A,A,C,B,C,A,B,B,A,A,B,B,A,C,A
Vignato,C,,A,A,A,B,S,A,A,A,A,B,B,C,A,A,B,C,C,C,C
Pierini,C,Sassuolo,A,A,A,S,C,B,S,S,B,B,S,C,,A,C,B,C,C,C
Camara,C,,A,A,A,C,C,C,A,A,A,C,C,C,A,A,S,A,S,C,S
Kovalenko,C,,A,A,A,C,S,B,S,S,S,B,C,C,A,A,B,C,C,C,C
Baselli,C,,A,A,A,S,S,S,B,A,S,C,C,S,,A,C,C,C,C,C
Cassa,C,,A,A,A,S,S,S,S,S,S,C,C,C,,A,C,C,C,C,C
Gourna-Douath,C,,A,A,A,B,A,A,B,A,B,C,B,C,A,A,B,B,S,C,S
Oudin,C,,A,A,A,A,C,C,A,A,A,A,B,C,A,A,B,A,B,C,B
Črnigoj,C,,A,A,A,B,S,A,A,A,S,C,A,C,A,A,B,C,C,C,C
Bandeira,C,,A,A,A,S,A,S,B,B,B,S,C,A,,A,C,B,B,C,B
Pafundi,C,Udinese,A,A,A,C,C,C,S,S,S,C,S,C,A,A,B,A,C,C,C
Bondo,C,Cremonese,A,A,A,A,A,A,C,C,C,B,A,A,A,A,B,B,A,S,B
Cyprien,C,,A,A,A,C,S,C,S,S,S,C,C,S,A,A,B,C,C,C,C
El Haddad,C,,A,A,A,S,S,S,S,S,S,C,B,C,,A,C,C,C,C,C
Kaba,C,Lecce,A,A,A,B,S,A,A,A,A,A,B,B,A,A,B,C,C,C,C
Gagliardini,C,,A,A,A,S,C,B,S,S,A,C,C,B,,A,C,B,S,C,S
Verdi,C,,A,A,A,C,C,C,S,S,S,C,B,C,A,A,B,B,S,C,S
Cacciamani,C,,A,A,A,S,S,S,S,S,S,C,A,C,,A,C,C,C,C,C
Estévez,C,,A,A,A,A,C,B,B,B,B,S,C,S,A,A,B,A,A,C,A
Oumar Conde,C,,A,A,A,S,S,S,A,A,S,B,C,C,,A,C,C,S,C,S
Pereiro,C,,A,A,A,S,S,S,S,S,S,S,C,C,,A,C,C,C,C,C
Ekong,C,,A,A,A,B,B,B,S,S,S,C,A,C,A,A,B,B,A,C,A
Żurkowski,C,,A,A,A,C,S,A,S,S,A,B,S,B,A,A,B,C,C,C,C
Onana,C,,A,A,A,S,A,S,A,A,A,S,B,A,,A,C,B,B,C,B
Haas,C,,A,A,A,S,A,S,A,A,A,A,A,S,,A,C,B,B,C,B
Kasa,C,,A,A,A,C,A,C,A,A,A,S,A,C,A,A,S,B,S,C,S
Adžić,C,,A,A,A,S,S,S,S,S,S,S,S,C,,A,C,C,C,C,C
El Azzouzi,C,Bologna,A,A,A,S,S,S,S,S,S,S,C,S,,A,C,C,C,C,C
Bacci,C,,A,A,A,S,S,S,S,S,S,S,A,S,,A,C,C,C,C,C
Lhassine Kone,C,,A,A,A,S,S,S,S,S,S,S,C,B,,A,C,C,S,C,S
Sansone,C,,A,A,A,C,S,C,S,S,S,S,S,C,A,A,B,C,S,C,S
Braunöder,C,,A,A,A,A,S,S,B,A,A,A,C,S,A,A,B,C,S,S,S
Valoti,C,Cremonese,A,A,A,S,S,S,S,S,S,S,S,S,,A,C,C,S,C,S
Orsolini,A,Bologna,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Thuram,A,Inter,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C
Kvaratskhelia,A,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
Ndoye,A,Bologna,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B
Kolo Muani,A,,C,B,C,C,C,C,C,C,C,B,B,C,C,C,C,A,C,C,C
Leão,A,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,B
Retegui,A,,C,C,C,C,C,C,C,C,C,A,B,C,C,C,C,C,C,C,C
Thauvin,A,Udinese,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
Diao,A,Como,C,B,C,C,A,B,C,C,C,C,C,C,C,C,C,C,B,C,B
Lukaku,A,Napoli,C,C,C,C,C,C,C,C,C,B,A,C,B,C,C,C,C,C,C
Martínez,A,,C,C,C,C,C,C,C,C,C,B,C,C,C,C,A,S,C,C,C
Chukwueze,A,Milan,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,A,C,C,C
Dovbyk,A,Roma,C,B,C,C,B,C,C,C,C,A,S,C,B,C,C,B,C,C,C
Cutrone,A,Como,C,C,C,C,B,C,C,C,C,C,A,C,C,C,C,C,C,C,C
Pulisic,A,Milan,C,C,C,C,C,C,C,C,C,C,C,C,B,C,A,C,C,C,C
Cornet,A,,C,C,C,C,C,C,B,A,B,C,B,C,C,C,C,C,C,C,C
Guðmundsson,A,,C,B,C,C,C,C,C,C,C,C,C,A,C,C,C,A,B,C,B
Tengstedt,A,,C,B,C,C,A,B,C,C,C,B,B,A,C,C,C,C,C,C,C
Yıldız,A,,C,C,C,B,C,B,C,C,C,C,C,C,C,C,C,A,C,S,C
Shomurodov,A,,C,C,C,C,C,C,B,C,B,B,B,B,C,C,B,C,C,C,C
Arnautović,A,,C,C,C,C,C,C,B,B,B,A,C,C,C,C,C,C,B,C,B
Domínguez,A,,B,C,C,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C
Neres,A,Napoli,B,C,C,B,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C
Raspadori,A,Napoli,C,C,C,C,C,C,B,C,B,B,C,A,C,C,C,S,C,C,C
Zaccagni,A,Lazio,C,C,C,B,C,B,C,C,C,C,C,C,C,B,C,C,A,C,A
Dybala,A,Roma,C,C,C,C,C,C,C,C,C,C,C,C,A,B,B,S,C,C,B
Strefezza,A,Como,B,C,B,A,C,B,C,C,C,C,C,C,C,C,C,C,B,C,B
Elmas,A,,C,A,C,A,A,A,C,C,C,C,C,B,C,C,C,B,C,C,C
Mota,A,,B,C,B,B,B,B,C,C,C,C,C,B,C,C,C,C,B,C,B
Pedro,A,Lazio,C,C,C,C,C,C,A,B,B,C,C,C,C,C,C,A,B,C,B
Adams,A,Torino,C,C,C,C,B,B,C,C,C,A,A,B,C,C,C,C,C,C,C
Douvikas,A,Como,C,C,C,C,C,C,C,B,C,B,A,B,B,C,B,C,B,C,B
Man,A,Parma,B,C,C,B,C,C,C,C,C,C,C,C,B,B,A,B,C,C,C
Morata,A,Como,C,A,C,C,B,C,C,C,C,B,C,B,C,C,C,A,A,C,S
Cambiaghi,A,Bologna,B,C,C,A,C,C,B,B,B,C,C,C,C,B,C,C,C,C,C
Dallinga,A,Bologna,C,C,C,C,A,C,B,C,B,A,A,C,B,C,A,C,C,C,C
Zapata,A,Torino,C,A,C,C,B,C,C,B,C,A,A,B,C,C,B,B,B,C,B
Castro,A,Bologna,C,C,C,C,C,C,C,C,C,A,B,B,C,C,C,C,A,C,A
Correa,A,,C,C,C,C,C,C,B,B,B,C,C,B,C,C,B,C,A,C,A
Kean,A,Fiorentina,C,C,C,C,B,C,C,C,C,B,A,A,C,C,B,C,B,C,B
Luvumbo,A,Cagliari,B,C,B,A,C,B,C,C,C,C,B,C,C,B,B,S,C,C,C
Morente,A,,B,C,B,A,B,A,C,C,C,C,C,C,C,B,C,C,B,C,B
Politano,A,Napoli,B,C,B,A,C,A,C,C,C,C,C,C,C,B,B,A,C,C,C
Vlahović,A,,C,C,C,C,B,C,C,C,C,B,A,B,B,C,S,C,B,C,B
Pellegrino,A,Parma,C,C,C,C,B,C,C,B,C,A,B,A,C,C,B,C,A,C,A
Venturino,A,Genoa,C,A,C,C,C,C,A,A,A,C,C,B,C,C,C,B,C,C,C
Viola,A,,B,B,B,B,C,B,C,C,C,B,C,A,C,C,C,A,B,C,B
Krstović,A,,C,C,C,C,B,C,C,C,C,B,B,A,B,C,A,C,B,C,B
Mbangula,A,,C,C,C,S,C,B,B,B,B,C,C,B,C,C,C,C,C,C,B
Oristanio,A,,B,C,B,B,C,B,C,C,C,C,C,B,B,B,A,C,C,C,C
Colpani,A,,B,B,A,B,B,A,C,C,C,C,C,C,B,B,B,B,C,C,C
Ikone,A,,B,A,B,C,A,B,B,B,B,C,C,C,B,C,B,B,C,C,C
Noslin,A,Lazio,B,C,C,B,C,C,B,B,A,B,B,B,C,C,C,C,B,C,B
Okafor,A,Milan,B,A,B,C,C,C,B,B,B,C,C,C,B,B,B,A,C,C,C
Lucca,A,Napoli,C,B,C,C,B,B,C,C,C,A,S,S,C,C,C,A,A,C,A
Bonny,A,Inter,B,C,C,C,C,C,C,C,C,B,B,B,A,B,S,C,C,C,C
Conceição,A,,B,C,C,A,C,C,C,C,C,C,C,C,C,B,C,S,A,S,A
Esposito,A,Cagliari,C,A,B,B,B,B,C,C,C,B,C,S,C,C,C,S,C,C,C
Vitinha,A,Genoa,B,C,B,A,C,B,C,C,C,C,A,A,C,B,C,B,B,C,B
Đurić,A,,C,B,C,B,B,A,C,C,C,S,B,S,C,C,C,B,B,C,A
Beltrán,A,,C,C,C,B,C,C,C,C,C,B,C,A,B,B,B,C,A,C,A
Isaksen,A,Lazio,B,B,B,B,B,B,C,C,C,C,B,C,B,B,A,B,B,C,B
Davis,A,Udinese,B,C,B,B,C,C,B,C,C,C,B,C,B,B,A,S,B,C,B
González,A,,B,C,B,B,A,B,C,C,C,C,C,B,B,B,A,C,B,C,B
Piccoli,A,Cagliari,C,B,B,C,A,C,C,C,C,A,A,A,B,C,S,C,B,C,B
Sarr,A,Verona,B,B,B,A,B,A,C,C,C,B,B,A,C,B,C,S,C,C,C
Pinamonti,A,Sassuolo,C,B,B,B,A,B,C,C,C,A,B,S,C,C,C,A,C,C,C
Baldé,A,,C,A,B,B,A,A,C,B,C,C,C,S,C,C,C,B,A,C,A
Belotti,A,,C,A,B,C,B,C,B,B,B,B,A,A,B,C,B,B,B,C,B
Fila,A,,C,A,C,C,A,B,C,B,C,A,B,B,C,C,C,B,S,S,S
Giménez,A,,C,C,C,C,C,C,C,B,C,C,S,B,C,C,C,C,S,S,A
Mosquera,A,Verona,C,B,C,C,B,C,B,C,B,B,B,B,B,C,S,B,A,C,A
Abraham,A,,C,C,C,C,C,C,B,C,B,A,C,B,A,B,S,C,C,C,C
Castellanos,A,Lazio,C,C,C,C,C,C,C,C,C,B,C,B,B,C,S,A,A,S,A
Cancellieri,A,Lazio,B,A,B,B,A,A,C,C,C,C,B,A,C,B,C,A,B,S,C
Colombo,A,Genoa,C,B,B,B,C,B,C,C,C,B,B,A,B,B,C,A,A,S,B
Jović,A,,C,A,B,C,C,C,B,B,B,B,C,S,B,C,B,S,B,C,B
Zaniolo,A,,C,C,C,B,B,B,A,B,B,C,C,C,C,C,C,C,S,S,S
Ekhator,A,Genoa,B,C,B,A,C,B,B,B,B,A,B,B,B,B,B,C,C,C,C
Sottil,A,Lecce,A,C,A,A,C,A,B,B,B,C,B,C,C,B,B,B,C,C,C
Pohjanpalo,A,,C,A,B,C,B,C,C,C,C,A,B,S,A,B,A,S,C,C,C
Bravo,A,Udinese,C,C,C,A,A,A,A,B,A,B,C,B,C,C,C,C,A,C,A
Fadera,A,Sassuolo,A,C,B,A,C,B,C,C,C,C,B,C,B,A,B,A,B,S,C
Gytkjær,A,,C,C,C,C,B,B,A,B,A,S,S,B,A,B,B,C,C,C,C
Iling-Junior,A,,C,A,C,A,B,S,S,S,A,C,C,C,C,C,C,B,C,C,C
Charpentier,A,,C,C,C,C,C,C,S,S,A,C,C,B,B,C,B,C,A,C,A
Pellegri,A,,C,A,C,S,C,A,B,B,B,C,B,B,C,C,C,B,S,C,S
Pierotti,A,Lecce,B,C,B,A,C,B,C,C,C,C,B,S,C,B,C,B,A,S,A
Simeone,A,Torino,B,C,C,C,C,C,A,A,A,C,B,C,A,C,S,C,B,C,B
Gabrielloni,A,Como,C,C,C,B,C,C,S,S,S,C,C,C,C,C,C,C,S,C,S
Kouamé,A,,A,B,A,C,C,C,B,C,B,B,C,C,A,A,S,S,C,C,C
Taremi,A,Inter,B,C,B,C,C,C,B,B,B,B,C,B,S,A,S,C,C,C,C
Ekuban,A,Genoa,B,C,C,C,C,C,A,A,B,B,A,C,A,B,S,C,B,C,B
Karlsson,A,Bologna,B,A,B,B,B,B,B,B,B,C,C,C,A,B,B,A,A,C,A
Livramento,A,,B,C,B,B,B,B,B,B,B,C,A,C,B,B,A,C,A,S,B
Nije,A,,C,A,B,C,B,C,S,S,A,C,B,B,B,C,B,B,B,C,A
Pavoletti,A,Cagliari,C,A,C,C,C,C,A,A,A,S,C,B,B,C,B,A,S,C,S
Coman,A,,C,A,B,S,S,S,B,A,B,B,B,C,C,C,C,C,S,C,S
Zanoli,A,Napoli,A,A,A,S,B,S,C,C,C,C,A,A,C,A,C,S,B,C,B
Almqvist,A,Parma,A,B,A,B,C,B,B,C,B,C,A,C,B,A,A,B,A,C,S
Mihaila,A,,A,C,B,B,B,A,C,C,C,C,C,A,S,A,S,C,B,C,B
Lambourde,A,,C,A,C,B,C,B,S,S,S,B,S,C,C,C,C,B,S,C,S
Banda,A,Lecce,A,C,A,B,C,B,B,B,B,C,A,C,S,A,A,B,B,C,B
Rebić,A,,B,A,A,B,C,C,B,B,B,C,C,C,B,B,A,S,S,S,A
Sanabria,A,Cremonese,B,B,B,B,A,A,C,C,C,S,A,S,B,B,A,C,B,C,B
Ganvoula M'Boussy,A,,A,A,S,A,A,A,C,B,C,A,A,B,S,A,B,B,C,C,C
Camarda,A,Lecce,A,A,S,C,C,C,A,A,A,A,S,C,S,A,B,B,C,C,C
Tchaouna,A,,B,A,A,C,B,C,B,B,A,C,C,C,A,B,A,B,S,S,S
Yeboah,A,,A,B,A,B,C,B,B,C,B,C,C,C,A,A,S,A,S,C,S
Marić,A,,A,A,S,B,S,A,B,B,A,B,C,C,S,A,A,C,C,C,C
Perciun,A,,A,A,S,S,B,S,S,S,B,B,C,C,,A,C,B,C,C,C
Raimondo,A,,A,A,S,C,B,C,S,S,S,C,B,C,S,A,B,B,C,C,C
Sánchez,A,,A,A,S,B,A,A,C,B,B,A,C,S,S,A,A,B,C,C,C
Vlahović,A,,A,A,S,C,C,C,S,S,A,S,S,C,S,A,B,B,C,C,C
Jasim,A,,A,A,S,S,S,S,S,S,S,C,C,C,,A,C,C,C,C,C
N'dri,A,,A,A,S,A,B,A,A,A,A,C,S,C,S,A,B,B,C,C,C
Benedyczak,A,Parma,A,A,S,A,A,A,B,A,A,B,A,B,S,A,B,B,C,C,C
Ngonge,A,Torino,A,A,S,C,C,C,A,A,S,C,C,C,S,A,B,B,S,C,S
Burnete,A,,A,A,S,C,S,B,S,S,S,S,S,C,S,A,C,C,C,C,C
Campaniello,A,,A,A,S,C,S,C,S,S,S,S,S,C,S,A,B,C,C,C,C
Cerri,A,,A,A,S,C,S,C,S,S,A,S,S,C,S,A,A,C,C,C,C
Daniel Caprini,A,,A,A,S,S,S,S,S,S,S,S,C,C,,A,C,C,C,C,C
Konate,A,,A,C,C,A,S,S,S,S,S,C,B,B,S,A,B,C,C,C,C
Lapadula,A,,A,A,S,C,A,C,A,A,A,C,C,A,S,A,A,B,A,C,A
Akpan Ankeye,A,,A,A,S,S,S,S,S,S,S,S,B,B,,A,C,C,C,C,C
Folorunsho,A,Cagliari,A,A,S,B,B,A,B,B,B,B,C,A,S,A,A,B,S,C,S
Mutandwa,A,,A,A,S,C,S,B,S,S,A,A,S,A,S,A,B,C,C,C,C
Alidou,A,,A,A,S,S,S,S,S,S,A,B,A,S,,A,C,C,C,C,C
Ajayi,A,,A,A,S,S,S,S,S,S,S,S,C,S,,A,C,C,C,C,C
Cissè,A,,A,A,S,S,S,S,S,S,S,S,C,S,,A,C,C,C,C,C
Pizarro,A,Udinese,A,A,S,S,S,S,S,S,S,S,S,S,,A,C,C,C,C,C
Balotelli,A,,A,A,S,S,S,S,S,S,S,S,B,C,,A,C,C,S,C,S
Petagna,A,,A,A,S,S,S,S,A,A,A,A,S,A,S,A,B,C,A,C,A
